id,SFA,lib,EAN,qty,Factory Price,Group Price,RETAIL,RETAIL_US
9620,"Boucles d'oreilles","PEONY D.* Or 14k - Diamant ",3666023091394,1,"690,35",1450,3680,5660
9621,"Boucles d'oreilles","DOROTHY Or 14k - Diamant ",3666023091400,1,"73,24",220,595,860
9622,Bague,"RAVI OR* Argent Oxydé - Or 14k - Diamant 51",3666023091417,1,"282,67",651,1630,2540
9623,Bague,"RAVI OR* Argent Oxydé - Or 14k - Diamant 53",3666023091424,1,"282,67",651,1630,2540
9624,Bague,"RAVI OR* Argent Oxydé - Or 14k - Diamant 55",3666023091431,1,"282,67",651,1630,2540
9632,Collier,"JULIAN Blue** Or 14k - aigue marine ",3666023091516,1,"278,30",794,1985,3100
9633,"Boucle d'oreille","KEITH Blue ** Or 14k ",3666023091523,1,"123,49",315,790,1230
9634,"Boucle d'oreille","KEITH pink** Or 14k ",3666023091530,1,"114,03",315,790,1230
9635,"Boucles d'oreilles","PAOLA T.* Or 14k - Tourmaline ",3666023091547,1,"261,65",650,1625,2540
9636,Bague,"VIVIA Or 14k - emerald 51",3666023091554,1,"146,81",353,885,1380
9638,Bague,"VIVIA Or 14k - emerald 55",3666023091578,1,"146,81",353,885,1380
9646,Bague,"BONIE MORGA* Or 14k - Morganite 51",3666023091653,1,"127,56",281,705,1100
9647,Bague,"BONIE MORGA* Or 14k - Morganite 53",3666023091660,1,"127,56",281,705,1100
9648,Bague,"BONIE MORGA* Or 14k - Morganite 55",3666023091677,2,"127,56",281,705,1100
9662,Bague,"BONIE PINK* Or 14k - garnet 51",3666023091813,1,"130,84",288,720,1120
9663,Bague,"BONIE PINK* Or 14k - garnet 53",3666023091820,1,"130,84",288,720,1120
9664,Bague,"BONIE PINK* Or 14k - garnet 55",3666023091837,1,"130,84",288,720,1120
9670,Bague,"BONIE BRUN* Or 14k - garnet 51",3666023091899,1,"126,64",288,720,1120
9671,Bague,"BONIE BRUN* Or 14k - garnet 53",3666023091905,1,"126,64",288,720,1120
9672,Bague,"BONIE BRUN* Or 14k - garnet 55",3666023091912,1,"126,64",288,720,1120
9681,Collier,"IRIS* Or 14k - Morganite ",3666023092001,1,"163,19",392,980,1530
9682,"Boucles d'oreilles","SAGE* Or 14k - Morganite ",3666023092018,1,"302,64",727,1820,2840
9686,"Boucle d'oreille","KEITH WHITE** Or 14k ",3666023092032,1,"172,30",353,880,1380
9687,"Boucles d'oreilles","JOSIE white** Or 14k ",3666023092049,1,"115,83",290,720,1130
9688,"Boucles d'oreilles","JOSIE black** Or 14k ",3666023092056,1,"89,38",290,720,1130
9689,"Boucle d'oreille","LOLA (ONE) T.* Or 14k ",3666023092063,2,"54,78",155,390,600
9690,"Boucle d'oreille","LOLA (ONE) D.* Or 14k ",3666023092070,1,"67,07",155,390,600
9691,Bague,"FLORA MORGA* Or 14k - Morganite 51",3666023092087,1,"132,47",254,635,990
9692,Bague,"FLORA MORGA* Or 14k - Morganite 53",3666023092094,1,"132,47",254,635,990
9693,Bague,"FLORA MORGA* Or 14k - Morganite 55",3666023092100,1,"132,47",254,635,990
9697,Bracelet,"CURTIS** Argent Oxydé - Or 14k ",3666023092148,1,"115,01",277,690,1080
9698,Collier,"HANDIE** Or 14k - citrine ",3666023092155,1,"115,89",286,715,1120
9699,Bracelet,"FLORA MORGA* Or 14k - Morganite ",3666023092162,1,"391,02",1037,2620,4040
9700,Bague,"BONIE Perle** Or 14k - pearl 51",3666023092179,1,"99,66",260,650,1010
9701,Bague,"BONIE Perle** Or 14k - pearl 53",3666023092186,1,"99,66",260,650,1010
9702,Bague,"BONIE Perle** Or 14k - pearl 55",3666023092193,1,"99,66",260,650,1010
9710,Collier,"MINI MOON* Or 14k - crystal  ",3666023092278,1,"216,36",518,1300,2020
9711,"Boucle d'oreille","MOONY (one)* Or 14k - crystal  ",3666023092285,1,"195,69",490,1220,1910
9712,Bague,"Nine Sun ** Or 14k - Diamant 51",3666023092292,2,"123,06",259,650,1010
9713,Bague,"Nine Sun ** Or 14k - Diamant 53",3666023092308,2,"123,06",259,650,1010
9714,Bague,"Nine Sun ** Or 14k - Diamant 55",3666023092315,1,"123,06",259,650,1010
9723,"Boucles d'oreilles","NORMAN Or 14k ",3666023092407,1,"325,83",689,1725,2690
9724,Collier,"ROSIE* Or 14k - rubis ",3666023092414,1,"141,58",352,880,1370
9725,"Boucles d'oreilles","ISAO* Or 14k - saphir ",3666023092421,1,"212,73",522,1310,2040
9726,"Boucles d'oreilles","IKA* Or 14k - saphir ",3666023092438,1,"166,10",367,920,1430
9727,Collier,"MITCH Perle** Or 14k ",3666023092445,1,"156,92",330,825,1290
9728,"Boucles d'oreilles","KIWA** or 14K ",3666023092452,1,"65,64",165,415,640
9729,Collier,"COEUR Perle** Or 14k - pearl ",3666023092469,1,"207,78",499,1250,1950
9730,"Boucles d'oreilles","ANGELINA Or 14k ",3666023092476,1,"214,63",601,1500,2340
9731,"Boucles d'oreilles","SUNY** or 14K diamant ",3666023092483,1,"89,51",220,550,860
9737,"Boucles d'oreilles","KHANO L **  Or 14k ",3666023092544,2,"507,97",1016,2135,3960
9738,Bague,"BONIE Green.** Or 14k - emerald 51",3666023092551,1,"91,31",302,760,1180
9739,Bague,"BONIE Green.** Or 14k - emerald 53",3666023092568,1,"91,31",302,760,1180
9740,Bague,"BONIE Green.** Or 14k - emerald 55",3666023092575,1,"91,31",302,760,1180
